iter	Passed	Remaining
0	62	62407
1	63	31545
2	63	21240
3	64	16084
4	65	12989
5	66	10939
6	66	9486
7	67	8380
8	68	7532
9	69	6851
10	69	6282
11	70	5807
12	71	5407
13	71	5064
14	72	4766
15	73	4505
16	73	4274
17	74	4071
18	75	3885
19	75	3721
20	79	3692
21	80	3597
22	81	3479
23	85	3466
24	86	3357
25	86	3255
26	87	3169
27	89	3107
28	90	3024
29	91	2950
30	93	2918
31	94	2849
32	95	2788
33	96	2728
34	96	2669
35	97	2614
36	98	2563
37	103	2623
38	104	2574
39	105	2527
40	106	2482
41	108	2467
42	109	2427
43	109	2387
44	111	2372
45	112	2337
46	113	2302
47	114	2268
48	115	2243
49	116	2212
50	117	2181
51	118	2153
52	119	2141
53	122	2138
54	125	2160
55	127	2142
56	127	2116
57	128	2091
58	129	2067
59	130	2044
60	131	2021
61	132	2005
62	133	1984
63	134	1963
64	135	1944
65	136	1926
66	137	1909
67	138	1891
68	138	1873
69	141	1877
70	142	1860
71	143	1843
72	143	1827
73	144	1811
74	145	1795
75	146	1782
76	148	1779
77	152	1797
78	152	1782
79	153	1769
80	157	1791
81	159	1785
82	159	1765
83	160	1749
84	161	1734
85	161	1719
86	162	1704
87	163	1690
88	163	1677
89	164	1664
90	165	1649
91	165	1635
92	166	1622
93	166	1608
94	167	1596
95	168	1582
96	168	1570
97	171	1576
98	171	1565
99	173	1562
100	174	1551
101	174	1540
102	175	1528
103	176	1518
104	176	1507
105	177	1496
106	178	1486
107	178	1475
108	179	1465
109	179	1454
110	180	1444
111	180	1434
112	181	1424
113	182	1415
114	182	1405
115	183	1397
116	184	1388
117	185	1386
118	186	1378
119	186	1370
120	187	1361
121	187	1352
122	188	1344
123	189	1336
124	189	1327
125	190	1319
126	190	1311
127	191	1303
128	192	1296
129	192	1289
130	193	1283
131	193	1275
132	194	1268
133	195	1261
134	195	1254
135	196	1247
136	197	1240
137	197	1234
138	199	1237
139	200	1231
140	201	1226
141	201	1218
142	202	1212
143	202	1206
144	203	1199
145	204	1194
146	205	1189
147	205	1183
148	206	1177
149	206	1171
150	207	1165
151	207	1159
152	208	1153
153	208	1147
154	209	1142
155	210	1137
156	210	1131
157	211	1126
158	211	1121
159	214	1124
160	214	1117
161	215	1112
162	215	1108
163	216	1103
164	217	1098
165	217	1093
166	218	1088
167	218	1083
168	219	1078
169	220	1074
170	220	1069
171	221	1065
172	221	1060
173	222	1055
174	223	1051
175	223	1046
176	224	1042
177	224	1037
178	225	1033
