iter	Passed	Remaining
0	61	61145
1	61	30928
2	62	20844
3	63	15746
4	64	12746
5	64	10719
6	65	9297
7	66	8203
8	66	7351
9	67	6671
10	68	6138
11	69	5683
12	69	5283
13	70	4951
14	71	4674
15	72	4443
16	73	4260
17	74	4075
18	75	3906
19	76	3738
20	76	3586
21	77	3447
22	78	3318
23	78	3205
24	79	3097
25	80	2998
26	80	2906
27	81	2822
28	82	2750
29	82	2676
30	83	2607
31	84	2546
32	85	2493
33	86	2445
34	87	2409
35	88	2361
36	89	2323
37	89	2274
38	90	2228
39	91	2185
40	91	2145
41	92	2105
42	92	2068
43	93	2032
44	94	1998
45	94	1968
46	95	1940
47	96	1909
48	96	1880
49	97	1855
50	98	1831
51	99	1813
52	101	1804
53	102	1791
54	103	1771
55	103	1749
56	104	1727
57	105	1706
58	105	1685
59	106	1666
60	107	1648
61	107	1629
62	108	1613
63	109	1595
64	109	1579
65	110	1563
66	111	1549
67	112	1535
68	115	1555
69	116	1554
70	117	1541
71	118	1526
72	119	1513
73	119	1500
74	120	1486
75	121	1473
76	121	1460
77	122	1448
78	123	1436
79	123	1425
80	124	1413
81	125	1401
82	125	1387
83	126	1377
84	127	1367
85	127	1357
86	129	1355
87	131	1363
88	132	1352
89	132	1342
90	133	1330
91	135	1339
92	136	1335
93	137	1324
94	137	1313
95	138	1303
96	149	1387
97	150	1380
98	151	1378
99	152	1368
100	153	1362
101	154	1356
102	155	1356
103	156	1351
104	158	1351
105	160	1351
106	160	1341
107	161	1332
108	162	1324
109	162	1316
110	164	1315
111	164	1307
112	165	1300
113	167	1298
114	168	1296
115	169	1293
116	171	1295
117	172	1288
118	173	1283
119	174	1277
120	174	1269
121	175	1262
122	176	1254
123	176	1248
124	179	1254
125	180	1252
126	181	1246
127	183	1253
128	184	1246
129	185	1241
130	186	1235
131	186	1228
132	187	1221
133	188	1219
134	190	1218
135	194	1238
136	199	1253
137	200	1252
138	202	1251
139	204	1255
140	214	1305
141	214	1298
142	215	1292
143	216	1285
144	217	1281
145	218	1275
146	219	1271
147	220	1270
148	230	1316
149	231	1309
150	231	1303
151	233	1304
152	234	1297
153	235	1294
154	237	1292
155	241	1307
156	242	1300
157	242	1294
158	243	1288
159	244	1282
160	244	1274
161	245	1268
162	246	1263
163	248	1264
164	249	1261
165	256	1287
166	257	1285
167	259	1283
168	259	1277
169	261	1275
170	261	1269
171	262	1263
172	263	1259
173	264	1257
174	268	1264
175	269	1262
176	271	1262
177	273	1264
178	274	1260
179	275	1254
180	275	1248
181	276	1242
182	277	1237
183	283	1257
184	284	1253
185	285	1247
186	285	1241
187	286	1236
188	288	1238
189	289	1232
190	289	1227
191	291	1226
192	292	1222
193	298	1241
194	299	1237
195	301	1234
196	301	1229
197	302	1224
198	302	1219
199	303	1213
200	303	1208
201	305	1205
202	306	1203
203	309	1206
204	310	1204
205	312	1205
206	313	1202
207	314	1198
208	316	1196
209	317	1195
210	324	1211
211	324	1207
212	325	1203
213	326	1199
214	328	1199
215	329	1196
216	331	1194
217	332	1191
218	332	1187
219	337	1195
220	338	1192
221	339	1189
222	340	1185
223	340	1180
224	341	1176
225	342	1171
226	342	1167
227	344	1167
228	345	1162
229	346	1159
230	357	1190
231	359	1189
232	359	1184
233	360	1179
234	360	1174
235	365	1181
236	367	1183
237	368	1180
238	369	1176
239	370	1171
240	370	1167
241	371	1162
242	371	1158
243	372	1153
244	372	1148
245	373	1144
246	374	1140
247	376	1141
248	380	1147
249	381	1144
250	381	1139
251	382	1135
252	383	1133
253	384	1129
254	385	1125
255	385	1120
256	387	1119
257	394	1133
258	395	1132
259	396	1129
260	397	1124
261	399	1124
262	400	1122
263	409	1142
264	410	1138
265	411	1134
266	411	1130
267	412	1127
268	414	1125
269	414	1121
270	416	1119
271	420	1125
272	423	1126
273	423	1122
274	424	1118
275	426	1118
276	427	1116
277	429	1114
278	430	1112
279	435	1120
280	436	1117
281	437	1113
282	437	1109
283	438	1105
284	438	1101
285	439	1096
286	440	1094
287	442	1094
288	443	1091
289	445	1091
290	446	1088
291	447	1084
292	447	1080
293	448	1077
294	449	1073
295	449	1070
296	450	1066
297	451	1062
298	458	1074
299	460	1074
300	461	1072
301	462	1069
302	463	1067
303	464	1063
304	464	1059
305	465	1055
306	465	1051
307	466	1048
308	470	1052
309	473	1054
310	474	1051
311	475	1049
312	477	1048
313	478	1046
314	479	1042
315	480	1039
316	480	1036
317	481	1032
318	483	1031
319	488	1037
320	488	1034
321	489	1031
322	491	1029
323	492	1026
324	492	1023
325	493	1020
326	494	1016
327	495	1015
328	503	1026
329	504	1023
330	506	1024
331	507	1021
332	508	1018
333	509	1015
334	509	1011
335	510	1009
336	513	1009
337	516	1010
338	517	1008
339	518	1005
340	520	1005
341	521	1003
342	522	1000
343	523	998
344	524	996
345	527	996
346	529	996
347	530	994
348	531	991
349	531	987
350	532	984
351	532	981
352	533	977
353	534	974
354	534	971
355	535	968
356	537	967
357	544	976
358	545	974
359	547	972
360	547	969
361	548	966
362	549	965
363	551	962
364	552	960
365	552	957
366	554	955
367	556	956
368	559	956
369	559	953
370	560	950
371	561	947
372	561	944
373	562	942
374	564	941
375	566	939
376	567	937
377	577	950
378	578	947
379	579	945
380	580	943
381	581	940
382	587	945
383	589	945
384	590	943
385	591	940
386	593	940
387	595	938
388	596	936
389	602	942
390	604	941
391	605	939
392	606	937
393	607	934
394	608	932
395	609	929
396	610	927
397	611	924
398	612	922
399	615	922
400	617	921
401	617	919
402	618	916
403	619	914
404	621	913
405	622	910
406	623	907
407	623	905
408	626	904
409	627	902
410	629	901
411	629	898
412	630	896
413	631	893
414	631	890
415	632	887
416	633	885
417	634	882
418	634	880
419	635	877
420	636	875
421	637	873
422	638	871
423	642	872
424	643	871
425	644	868
426	645	866
427	646	863
428	646	860
429	647	858
430	648	855
431	648	853
432	649	850
433	650	847
434	650	845
435	651	842
436	654	842
437	655	841
438	656	838
439	656	835
440	657	833
441	658	831
442	662	832
443	663	830
444	665	830
445	666	828
446	670	829
447	671	827
448	672	824
449	673	822
450	673	820
451	674	817
452	674	814
453	675	812
454	675	809
455	676	806
456	677	804
457	677	802
458	679	800
459	679	797
460	680	795
461	680	792
462	681	790
463	682	788
464	686	789
465	687	787
466	688	785
467	689	784
468	690	781
469	691	779
470	691	777
471	692	774
472	693	772
473	693	770
474	694	767
475	694	764
476	695	762
477	696	760
478	699	761
479	700	758
480	701	756
481	702	754
482	703	752
483	703	750
484	704	748
485	705	745
486	705	743
487	706	741
488	707	738
489	707	736
490	708	734
491	709	732
492	710	730
493	711	728
494	711	726
495	713	725
496	714	722
497	715	720
498	715	718
499	716	716
500	717	714
501	717	711
502	718	709
503	718	707
504	719	704
505	719	702
506	720	700
507	721	698
508	722	696
509	724	695
510	729	698
511	730	696
512	731	694
513	731	691
514	732	689
515	733	687
516	733	685
517	734	683
518	734	681
519	735	678
520	736	676
521	736	674
522	737	672
523	737	670
524	738	668
525	739	666
526	742	666
527	743	664
528	743	662
529	744	660
530	744	657
531	745	655
532	746	653
533	746	651
534	747	649
535	747	647
536	748	645
537	749	643
538	750	641
539	750	639
540	751	637
541	752	635
542	752	633
543	753	631
544	754	630
545	756	628
546	757	627
547	758	625
548	758	623
549	759	621
550	759	618
551	760	616
552	760	614
553	761	612
554	761	610
555	762	608
556	762	606
557	763	604
558	763	602
559	764	600
560	765	598
561	765	596
562	766	594
563	767	593
564	771	593
565	772	592
566	773	590
567	773	588
568	774	586
569	775	584
570	776	583
571	776	581
572	777	579
573	778	577
574	779	575
575	779	574
576	780	572
577	781	570
578	781	568
579	782	566
580	786	567
581	787	565
582	788	563
583	788	562
584	789	560
585	790	558
586	791	556
587	791	554
588	792	552
589	792	551
590	793	549
591	794	547
592	795	545
593	796	544
594	800	545
595	802	543
596	803	542
597	803	540
598	805	539
599	805	537
600	806	535
601	807	533
602	807	531
603	808	529
604	808	528
605	809	526
606	810	524
607	811	522
608	811	521
609	814	520
610	815	519
611	816	517
612	817	515
613	817	514
614	818	512
615	819	510
616	819	509
617	820	507
618	821	505
619	821	503
620	822	502
621	823	500
622	823	498
623	824	496
624	825	495
625	826	493
626	828	492
627	829	491
628	829	489
629	830	487
630	831	486
631	832	484
632	832	482
633	833	481
634	833	479
635	834	477
636	835	475
637	835	474
638	836	472
639	836	470
640	837	469
641	838	467
642	838	465
643	839	463
644	840	462
645	841	461
646	843	460
647	844	458
648	844	456
649	845	455
650	846	453
651	846	451
652	846	450
653	847	448
654	848	446
655	848	445
656	849	443
657	850	441
658	850	440
659	851	438
660	852	437
661	852	435
662	853	433
663	854	432
664	854	430
665	857	430
666	858	428
667	859	426
668	859	425
669	860	423
670	861	422
671	861	420
672	862	418
673	862	417
674	863	415
675	864	414
676	864	412
677	865	410
678	865	409
679	866	407
680	866	406
681	867	404
682	867	402
683	868	401
684	869	399
685	870	398
686	872	397
687	873	396
688	874	394
689	875	393
690	875	391
691	876	390
692	876	388
693	877	386
694	878	385
695	878	383
696	879	382
697	879	380
698	880	379
699	881	377
700	881	376
701	882	374
702	883	373
703	883	371
704	884	370
705	885	368
706	887	367
707	888	366
708	889	365
709	890	363
710	890	362
711	891	360
712	892	359
713	892	357
714	893	356
715	893	354
716	894	353
717	895	351
718	896	350
719	896	348
720	897	347
721	898	345
722	898	344
723	899	342
724	900	341
725	902	340
726	902	339
727	903	337
728	904	336
729	905	334
730	905	333
731	906	331
732	907	330
733	907	328
734	908	327
735	909	326
736	909	324
737	910	323
738	910	321
739	911	320
740	912	318
741	912	317
742	913	316
743	914	314
744	915	313
745	916	312
746	917	310
747	918	309
748	919	307
749	919	306
